;WOZ;Global;Direkt;Diffus
320125;2016-08-07 14:00:00;319.44444444444446;11.111111111111086;308.33333333333337
320126;2016-08-07 15:00:00;194.44444444444446;2.7777777777777715;191.66666666666669
320127;2016-08-07 16:00:00;111.11111111111111;2.7777777777777715;108.33333333333334
320128;2016-08-07 17:00:00;47.22222222222222;0.0;47.22222222222222
320129;2016-08-07 18:00:00;72.22222222222223;5.555555555555557;66.66666666666667
320130;2016-08-07 19:00:00;50.0;2.7777777777777786;47.22222222222222
320131;2016-08-07 20:00:00;8.333333333333334;0.0;8.333333333333334
320132;2016-08-07 21:00:00;0.0;0.0;0.0
320133;2016-08-07 22:00:00;0.0;0.0;0.0
320134;2016-08-07 23:00:00;0.0;0.0;0.0
320135;2016-08-08 00:00:00;0.0;0.0;0.0
320136;2016-08-08 01:00:00;0.0;0.0;0.0
320137;2016-08-08 02:00:00;0.0;0.0;0.0
320138;2016-08-08 03:00:00;0.0;0.0;0.0
320139;2016-08-08 04:00:00;0.0;0.0;0.0
320140;2016-08-08 05:00:00;11.11111111111111;2.777777777777777;8.333333333333334
320141;2016-08-08 06:00:00;50.0;2.7777777777777786;47.22222222222222
320142;2016-08-08 07:00:00;47.22222222222222;2.7777777777777786;44.44444444444444
320143;2016-08-08 08:00:00;169.44444444444446;19.444444444444457;150.0
320144;2016-08-08 09:00:00;119.44444444444444;2.7777777777777715;116.66666666666667
320145;2016-08-08 10:00:00;491.6666666666667;272.22222222222223;219.44444444444446
320146;2016-08-08 11:00:00;700.0;511.1111111111111;188.88888888888889
320147;2016-08-08 12:00:00;766.6666666666667;527.7777777777778;238.88888888888889
320148;2016-08-08 13:00:00;650.0;405.55555555555554;244.44444444444446
320149;2016-08-08 14:00:00;536.1111111111111;230.55555555555554;305.55555555555554
320150;2016-08-08 15:00:00;275.0;25.0;250.0
320151;2016-08-08 16:00:00;211.11111111111111;8.333333333333343;202.77777777777777
320152;2016-08-08 17:00:00;152.77777777777777;5.555555555555543;147.22222222222223
320153;2016-08-08 18:00:00;100.0;2.7777777777777715;97.22222222222223
320154;2016-08-08 19:00:00;36.111111111111114;2.7777777777777786;33.333333333333336
320155;2016-08-08 20:00:00;5.555555555555555;0.0;5.555555555555555
320156;2016-08-08 21:00:00;0.0;0.0;0.0
320157;2016-08-08 22:00:00;0.0;0.0;0.0
320158;2016-08-08 23:00:00;0.0;0.0;0.0
320159;2016-08-09 00:00:00;0.0;0.0;0.0
320160;2016-08-09 01:00:00;0.0;0.0;0.0
320161;2016-08-09 02:00:00;0.0;0.0;0.0
320162;2016-08-09 03:00:00;0.0;0.0;0.0
320163;2016-08-09 04:00:00;0.0;0.0;0.0
320164;2016-08-09 05:00:00;2.7777777777777777;0.0;2.7777777777777777
320165;2016-08-09 06:00:00;33.333333333333336;0.0;33.333333333333336
320166;2016-08-09 07:00:00;86.11111111111111;0.0;86.11111111111111
320167;2016-08-09 08:00:00;163.88888888888889;5.555555555555543;158.33333333333334
320168;2016-08-09 09:00:00;294.44444444444446;16.666666666666686;277.77777777777777
320169;2016-08-09 10:00:00;352.77777777777777;38.88888888888886;313.8888888888889
320170;2016-08-09 11:00:00;661.1111111111111;452.7777777777777;208.33333333333334
320171;2016-08-09 12:00:00;652.7777777777778;405.5555555555556;247.22222222222223
320172;2016-08-09 13:00:00;688.8888888888889;375.0;313.8888888888889
320173;2016-08-09 14:00:00;538.8888888888889;227.77777777777777;311.11111111111114
320174;2016-08-09 15:00:00;422.22222222222223;122.22222222222223;300.0
320175;2016-08-09 16:00:00;433.33333333333337;247.22222222222226;186.11111111111111
320176;2016-08-09 17:00:00;202.77777777777777;58.333333333333314;144.44444444444446
320177;2016-08-09 18:00:00;150.0;19.44444444444443;130.55555555555557
320178;2016-08-09 19:00:00;86.11111111111111;8.333333333333329;77.77777777777779
320179;2016-08-09 20:00:00;13.88888888888889;2.7777777777777786;11.11111111111111
320180;2016-08-09 21:00:00;0.0;0.0;0.0
320181;2016-08-09 22:00:00;0.0;0.0;0.0
320182;2016-08-09 23:00:00;0.0;0.0;0.0
320183;2016-08-10 00:00:00;0.0;0.0;0.0
320184;2016-08-10 01:00:00;0.0;0.0;0.0
