solar_data;heat_demand;el_spot_price;ambient_temperature;el_price;cop_lthp;P_max_hp;P_min_hp;c_1_hp;c_0_hp
0;254;12.12;-1.775;97.63;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;251;17.23;-1.301;102.74;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;259;13.9;-0.584;99.41;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;261;12.11;0.293;97.62;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;264;12.99;1.344;98.5;3.37932832;38.51587189;13.83798956;2.192930293;-19.20964587
0;275;16.98;2.158;102.49;3.37932832;38.51587189;13.83798956;2.192930293;-19.20964587
0;283;22.02;2.56;107.53;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;297;28.4;2.623;113.91;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;290;29.31;2.553;114.82;3.37932832;38.51587189;13.83798956;2.192930293;-19.20964587
0;303;26.6;2.438;112.11;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;288;25.55;1.993;111.06;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;293;25.76;1.331;111.27;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;302;25.13;0.926;110.64;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;328;25.58;0.702;111.09;3.37932832;38.51587189;13.83798956;2.192930293;-19.20964587
0;314;27.6;0.455;113.11;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;320;32.08;0.087;117.59;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0;303;37.16;-0.183;122.67;3.37932832;38.51587189;13.83798956;2.192930293;-19.20964587
0;288;45;-0.887;130.51;3.37932832;38.51587189;13.83798956;2.192930293;-19.20964587
0;288;46.97;-1.488;132.48;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;288;40.09;-1.7;125.6;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;288;34.61;-1.656;120.12;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;270;31.52;-1.58;117.03;3.619860174;37.65458128;13.53453675;2.280378968;-18.50926301
0;265;32.5;-1.654;118.01;3.619860174;37.65458128;13.53453675;2.280378968;-18.50926301
0;249;26.01;-1.479;111.52;3.619860174;37.65458128;13.53453675;2.280378968;-18.50926301
0;226;26.1;-0.895;111.61;3.619860174;37.65458128;13.53453675;2.280378968;-18.50926301
0;222;25.1;-0.34;110.61;3.682872891;37.41925611;13.45782505;2.303943762;-18.35302012
0;227;24.3;-0.137;109.81;3.682872891;37.41925611;13.45782505;2.303943762;-18.35302012
0;226;23.23;0.042;108.74;3.682872891;37.41925611;13.45782505;2.303943762;-18.35302012
0;238;21.96;0.092;107.47;3.619860174;37.65458128;13.53453675;2.280378968;-18.50926301
0;255;22.45;-0.03;107.96;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;271;23.07;-0.105;108.58;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;268;25;-0.104;110.51;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;277;32.11;0.083;117.62;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;290;37.12;0.417;122.63;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;304;36.13;0.812;121.64;3.37932832;38.51587189;13.83798956;2.192930293;-19.20964587
0;285;35.76;1.032;121.27;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;278;34.06;1.158;119.57;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
6.38E-05;273;31.54;1.228;117.05;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;280;27.92;1.073;113.43;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;272;27;0.769;112.51;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;269;30.5;0.64;116.01;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;263;36.99;0.425;122.5;3.682872891;37.41925611;13.45782505;2.303943762;-18.35302012
0;252;36.8;0.324;122.31;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;263;35;0.352;120.51;3.810832545;36.94758561;13.30148415;2.351159378;-18.03006828
0;268;29;0.341;114.51;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;251;25.01;0.401;110.52;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;244;25.1;0.404;110.61;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;227;22.28;0.309;107.79;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;217;15.58;0.184;101.09;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;209;19.05;0.108;104.56;3.943559123;36.49017739;13.14129955;2.396954027;-17.67198082
0;212;16.87;0.197;102.38;3.943559123;36.49017739;13.14129955;2.396954027;-17.67198082
0;212;12.75;0.292;98.26;3.943559123;36.49017739;13.14129955;2.396954027;-17.67198082
0;229;10.81;0.224;96.32;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;234;10.85;0.04;96.36;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;237;9.85;-0.095;95.36;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;252;11.92;-0.074;97.43;3.810832545;36.94758561;13.30148415;2.351159378;-18.03006828
0;252;15.44;0.478;100.95;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;268;18.99;0.865;104.5;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;280;19.66;0.895;105.17;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;282;21.59;0.956;107.1;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;275;21.83;1.336;107.34;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;268;20.82;1.913;106.33;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;263;20.06;2.283;105.57;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;249;21.45;2.335;106.96;3.810832545;36.94758561;13.30148415;2.351159378;-18.03006828
0;256;23.92;2.387;109.43;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;261;27.93;2.342;113.44;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;258;35;2.192;120.51;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;253;33;1.98;118.51;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;241;30.03;1.768;115.54;3.943559123;36.49017739;13.14129955;2.396954027;-17.67198082
0;226;26.06;1.62;111.57;3.943559123;36.49017739;13.14129955;2.396954027;-17.67198082
0;209;26.93;1.568;112.44;4.084084337;36.03446174;12.98147701;2.443018342;-17.31051627
0;196;23.12;1.516;108.63;4.165619712;35.80654297;12.90373289;2.466467192;-17.13741451
0;189;21.95;1.522;107.46;4.248251613;35.58189366;12.82487485;2.489575255;-16.95506992
0;203;20.04;1.72;105.55;4.165619712;35.80654297;12.90373289;2.466467192;-17.13741451
0;216;19.78;1.863;105.29;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;230;19.36;1.879;104.87;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;233;19.56;1.717;105.07;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;246;21.67;1.604;107.18;3.619860174;37.65458128;13.53453675;2.280378968;-18.50926301
0;250;28.5;1.511;114.01;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;268;41.61;1.375;127.12;3.619860174;37.65458128;13.53453675;2.280378968;-18.50926301
0;262;45.93;1.475;131.44;3.619860174;37.65458128;13.53453675;2.280378968;-18.50926301
0;245;44;1.659;129.51;3.810832545;36.94758561;13.30148415;2.351159378;-18.03006828
0;246;41.94;1.868;127.45;3.943559123;36.49017739;13.14129955;2.396954027;-17.67198082
0;244;41.96;2.126;127.47;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;244;42.33;2.232;127.84;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;265;42.1;2.001;127.61;3.810832545;36.94758561;13.30148415;2.351159378;-18.03006828
0;258;39.88;1.472;125.39;3.876441883;36.71748393;13.22186914;2.374200216;-17.85499014
0;251;37.5;1.089;123.01;3.943559123;36.49017739;13.14129955;2.396954027;-17.67198082
0;252;37.95;0.893;123.46;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;270;44.69;0.706;130.2;3.943559123;36.49017739;13.14129955;2.396954027;-17.67198082
0;277;42.88;0.66;128.39;3.810832545;36.94758561;13.30148415;2.351159378;-18.03006828
0;279;40;0.724;125.51;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;258;33.09;0.757;118.6;3.810832545;36.94758561;13.30148415;2.351159378;-18.03006828
0;244;27.93;0.83;113.44;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;235;28;0.898;113.51;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;228;24.14;0.949;109.65;3.682872891;37.41925611;13.45782505;2.303943762;-18.35302012
0;222;21.51;0.982;107.02;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;202;19.81;1.009;105.32;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;200;19.1;1.012;104.61;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;201;15.74;0.999;101.25;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;215;15.54;0.969;101.05;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;230;20.19;0.979;105.7;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;234;24.38;0.957;109.89;3.746653714;37.18358793;13.38013839;2.32753388;-18.19329584
0;230;35.92;0.892;121.43;4.084084337;36.03446174;12.98147701;2.443018342;-17.31051627
0;244;40.5;0.93;126.01;4.084084337;36.03446174;12.98147701;2.443018342;-17.31051627
0;230;41;1.019;126.51;4.330724041;35.35770796;12.74490215;2.512571269;-16.76635103
0;251;38.66;1.219;124.17;4.084084337;36.03446174;12.98147701;2.443018342;-17.31051627
0;264;36.46;1.481;121.97;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;241;35;1.685;120.51;4.248251613;35.58189366;12.82487485;2.489575255;-16.95506992
0;244;33.3;1.786;118.81;4.084084337;36.03446174;12.98147701;2.443018342;-17.31051627
0;253;32.21;1.737;117.72;4.084084337;36.03446174;12.98147701;2.443018342;-17.31051627
0;259;33;1.831;118.51;4.084084337;36.03446174;12.98147701;2.443018342;-17.31051627
0;255;36.08;2.188;121.59;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;231;41.94;2.429;127.45;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;241;40.33;2.567;125.84;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;244;29.69;2.675;115.2;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
0;235;26.05;2.638;111.56;4.012264153;36.26249536;13.05978081;2.419744664;-17.48521477
